track_id,track_name,artist_id,artist_name,album_id,duration,release_date,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_followers,genres,artist_popularity
2pGH2MRfqXyFJtVPVBZ7Gx,Pwede Ba,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,652wi7TL70B3QnNE2wwDSN,342806,2018-06-15,53,0.665,0.325,0,-7.658,1,0.0544,0.607,0.000429,0.105,0.253,79.496,75309,"['pinoy indie', 'pinoy rock']",48
0HAciULA3lNbyp0kCBrJnC,Maybe Maybe,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,5eawUz4lU3YG3j79LhubBG,313500,2017-05-16,42,0.648,0.316,8,-11.308,1,0.0277,0.434,1.32e-05,0.123,0.308,99.006,75309,"['pinoy indie', 'pinoy rock']",48
72Xg79Z8uWLh48nKxuqwVF,No Tomorrow,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,5eawUz4lU3YG3j79LhubBG,188000,2017-05-16,34,0.624,0.379,9,-12.002,1,0.0332,0.656,0.0,0.32,0.487,91.972,75309,"['pinoy indie', 'pinoy rock']",48
6Te15Q7bPL0S6jPg5KzZQT,Please Don’t Leave,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,5ft2hxnN8ZiOiusjSK3d1h,159493,2020-11-12,32,0.462,0.169,10,-8.52,1,0.0309,0.967,0.0,0.118,0.343,135.103,75309,"['pinoy indie', 'pinoy rock']",48
0hBksOFr0Fs5mWLOliuD06,Sanity,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,2uX28zFrqZw4IbzsaEYaDm,223802,2019-05-17,35,0.724,0.571,9,-6.024,0,0.0396,0.159,0.0,0.0613,0.775,99.957,75309,"['pinoy indie', 'pinoy rock']",48
5B2muz6grNMnHUTCLyPhVB,Pwede Ba - Korean Version,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,6y3WPaQdgMfX4Mw3hhAocu,205000,2020-01-17,36,0.571,0.125,9,-16.989,1,0.043,0.86,2.86e-06,0.26,0.319,89.712,75309,"['pinoy indie', 'pinoy rock']",48
56OFGWiYP7d0F0kA2fd7ZC,Shake Yer Head,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,47C3r7fnfLkZdsfaAGwPRL,222340,2020-03-20,29,0.629,0.74,9,-6.502,1,0.0316,0.157,2.01e-06,0.0917,0.789,130.007,75309,"['pinoy indie', 'pinoy rock']",48
1xRNFncLzJXA0niRz0BiXV,Fools,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,5eawUz4lU3YG3j79LhubBG,237500,2017-05-16,27,0.644,0.516,0,-11.099,1,0.0371,0.0676,9.28e-05,0.147,0.545,130.822,75309,"['pinoy indie', 'pinoy rock']",48
6yHovERMPPq0S8sKphNo1N,Maybe Maybe (Revisited),29zSTMejPhY0m7kwNQ9SPI,Lola Amour,5ft2hxnN8ZiOiusjSK3d1h,303040,2020-11-12,25,0.685,0.449,3,-8.512,1,0.0387,0.505,0.00244,0.11,0.274,102.091,75309,"['pinoy indie', 'pinoy rock']",48
7ctGuuUIbPWHDzvTl9ShUF,Piece of Mind,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,5eawUz4lU3YG3j79LhubBG,92500,2017-05-16,23,0.748,0.201,9,-11.712,1,0.0335,0.546,8.4e-06,0.0652,0.712,119.191,75309,"['pinoy indie', 'pinoy rock']",48
4srf27evQWay0iKVUnxP0h,No Tomorrow (Revisited),29zSTMejPhY0m7kwNQ9SPI,Lola Amour,5ft2hxnN8ZiOiusjSK3d1h,238080,2020-11-12,24,0.446,0.441,2,-8.479,1,0.0265,0.0564,0.0112,0.169,0.183,81.423,75309,"['pinoy indie', 'pinoy rock']",48
3MsCJJAGA6OdanJTvqvKBa,Fools (Revisited),29zSTMejPhY0m7kwNQ9SPI,Lola Amour,5ft2hxnN8ZiOiusjSK3d1h,200320,2020-11-12,24,0.72,0.362,2,-5.314,0,0.0298,0.833,0.0,0.0971,0.295,105.154,75309,"['pinoy indie', 'pinoy rock']",48
5BHPGYa53j3c9lnZRfYVqA,Shake Yer Head,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,2Lokk4sIwvne6xEXHGClBQ,222340,2020-06-12,5,0.629,0.74,9,-6.502,1,0.0317,0.155,2.01e-06,0.0917,0.789,130.006,75309,"['pinoy indie', 'pinoy rock']",48
1wK86WMTq9LcvDjVjMg1rh,Pa-Umaga - Cover Version,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,6f2JnRkQ490vxmTKnfxe5L,253352,2019-10-20,25,0.658,0.635,0,-5.433,1,0.0304,0.606,0.00175,0.0911,0.382,101.96,75309,"['pinoy indie', 'pinoy rock']",48
