playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,75,spotify,Spotify,132984
79OG7felavmRSLh1UpYBSO,Pinoy Indie Faves,589,kneecoaleee,Nicole Mortel,1381
5166vpEenpiy4kVU9XafbS,The Sound of Pinoy Indie,304,thesoundsofspotify,The Sounds of Spotify,815
1AzsgYSCBxajAzN6ehh4iB,Tagalog OPM Indie songs that make me feel like I'm in a Pinoy indie film,162,12144453799,Israel,736
1lPGwNeoeAnHnczT5iEQGT,Pinoy Indie Bands,284,226dgzcdw37p7jnto72iforjy,Clarizza Mae Santos,298
3yYbh3gSRn9WGUpTk0J31K,Pinoy Indie Hugot,162,11160160443,Marty Sasuman,256
3eWBjL2f97qCYVOZi1JwhS,Maru's Pinoy Indie Picks,50,12146342191,mMarukudeibu,187
2TBMBjY9H669KvlySMGn8b,Pinoy Indie Mellow,94,zeqrg9imadxxst34c57mdgqwt,Sheezer,131
0X8btkh2UZi92VBnTk5RlI,Pinoy Indie Movies OST,23,12164773287,Mariel Briva,99
4rnTGfITM5eVi3S0MBDIHJ,Pinoy Indie Chill,224,mshnlini,macchi,37
5aBcuCiLoPfsutzQUj6TcY,💃🎚Pinoy Indie,165,3vwskjyied4pzjh4velai8ibj,Mikayla Campbell,36
5LVffHpr5rHsYHqyDh257S,Acoustic Corner 1/6 🎸🎸🎸: OPM Acoustic Pop and Covers | Pinoy Indie Acoustic/Folk Hits (2015-2020),63,31ga5toluxyvc52dukt7zsnvp2ce,Ray FL II,27
0zmmaLaxu1GqqByYEjUgFc,Pinoy Indie Drive ❄,81,engr.gultiano,Ron Neil Gultiano,23
3sEgpIMgn1SgmSxW7LZd8S,Pinoy Indie Folk Pop,59,kamillejasmine,kamillejasmine,19
14BejpZZ6mQvzHqvyXOIOP,Pinoy Indie Rock Tagalog Tracks,45,12154249020,Ian Lester Villapando Buhat,12
26dO7MNcfHsGVP2jiIaT4c,Pinoy Indie,44,coliagulo,Coli Agulo,11
0pgwXruVymzm3SK0REisHO,Pinoy Indie Trippings,204,12145034076,Jason A.,10
1udcnBqgpQtxOwfsLENdmV,Pinoy Indies,76,2ooue7bxgqxunselpe3bylzu8,Sky,7
5BmoOKdaVMIPqC9skc8Ih3,Pinoy Indie Hiphop Rap,66,leohmarr,lei-yoh,6
2jNiUZ80NxFXRulKgapPi6,PINOY INDIE/POP,44,12151464992,Agassi Manlutac,6
0Tt9HIMhtWIlMKMHaiBAb7,Pinoy Indie Jams,196,12151873828,DANIEL M.,5
1UMYDBQtzO84meYfEbkJnd,Pinoy Indie Select,38,acgfqz5g45mhow02e2erke2fe,Benjie Aristo,4
12IlWryAdYGnkT9ZIsMLo4,Pinoy Indie 🍃,94,chinniechua,chie,4
5Ye7NI3llMFdVipsQZiDWh,Pinoy Indie Midnights,80,12138422277,Rai Icasiano,3
50qUJWUpIPIHnFOL8u6ctb,Pinoy Indie 🍃,55,316aacnfkrx4kpqt66r37k27iyy4,Ana Ramona Dolatre,3
2jmFfbXpAk8uU8Y43ra5lH,Pinoy Indie,16,12141475734,Christian Burgos,2
7jEPjfkN8mTV8JlmejtMfz,DMJR - Pinoy Indie Pop,41,11125475963,Donnie Misa,2
35RJ31VL20s5MWs3BY0iZ9,pinoy indie,54,12161717634,Claire dela Cruz,2
0VPVj876AnBVoMtaAA38RA,Pinoy Indie,99,rnbsnxvvtllzzkpst4ba4zgt7,Alex Sby,1
5AsLoQNyYXqyDMn64qWNgR,pinoy indie vibes 📻,60,1tf9yjp4ia8dzv156fz9g1aer,Trixie Rosario,1
4NUUnwTT5jyDQ4cH41AOHM,Pinoy Indie,80,zaidalpiolo,zaidalpiolo,1
20YNDXvC4mIbiT1un0HLb9,Pinoy Indie Music,40,14977lseaqk106gnvtuzp5kgj,Yuno,1
3zZsWJAWdqE2nLOabmGWI1,Pinoy Indie,131,22qolwlbeuysrkw2eb577mk6i,John Villanueva,0
2api46xRLBnST2Rd3XOV4p,New Pinoy Indie,49,actdiaz,Angela Diaz,0
5cKpBaDcN8Mwc0gaC6ir3g,Pinoy Indie,212,12158845168,EarthieBrownies,0
6w6TW5BsQcm7kRKfO5ij4n,pinoy indie,13,31rbqelpu6rjmenza2hflkamqshy,Niño Joshua D. Velasco,0
6FfYOQXGhrEyjsT25R9MOB,PINOY INDIE,152,cedriczamora22,Cedric Zamora,0
0vyk2LbXcmgsoPZpN3nyqh,Pinoy Indie faves,59,c57o8bif6d4aa0do19n1ng0hx,Banannah,0
0rXXEAWnArWDMQpv0oZM9E,Pinoy indie,33,7jl8pgmut7neqpndx8wkd2vq7,maurenjoysan,0
58i1rXOKDJVJxm0ueOOREa,PINOY INDIE❤️,39,12173801115,Daniel Cunanan,0
5zaThxkvD5dmz295kzeci9,pinoy indie ,16,oyfbmkaii02wuuww7i4zwdjmx,Malaya,0
43xAhKjbE8oCnuPDBZUgD6,Pinoy Indie,60,12153514131,My My My,0
46TkzmSqrWsfRK6nERm1KR,Pinoy indie,52,31br37y3mmehd3fcggbsagiql2xi,Ira Tubac,0
3zTUk0YLmpQ7VguhY3zj2s,pinoy indie faves,90,yenolay,Yen Olay,0
196H2v4cmxlf3lUXd4IRaC,my pinoy indie,188,my_extinction,Kanlungan,0
1G2cOzZSQ93tvopFPiujT4,Pinoy Indie?,34,bsx6jb92dvdenypatcx7ii15t,JanoLigo,0
6FAyQhFvFChDDDTgLny5qU,PINOY INDIE,107,wu9u0cm74pie5pzgd2vx1udbt,Gaaroyellemae,0
1SUCYLFgkdJo1mi50FU6jx,Pinoy Indie 🇵🇭,58,xauclfxns4g35o4jf62cxjoj5,Daniel ❤️,0
5DtVXsTJ3TGgXctmIHZR1D,Pinoy indie,29,1268755277,Angelo Egrubay,0
2MSynpVk6hQsgoicM201pN,Pinoy Indie,72,rzs35yhdjycoi6xg8uezl874n,Dump,0
6lUIrGgcg5Qcx6RYjuQ339,Pinoy Indie,80,ibg3189,ibg3189,0
3IGChOYCYOUrNP3yBZGDq8,Pinoy Indie Mix,49,22q22llgjxkingtpajqhbpaia,Sidney Libo-on,0
23otLGdnr7iydmjdnI1oFn,Pinoy indie,119,3157itcb3cgozcsvwllmsirnvkc4,Amiah Novie Verga Boquilon,0
3iI3OWPopqnxrJqyTc2GbJ,pinoy indie,32,22imel27xqt4imhioxrf3ft2q,Nathalie Mariscal,0
6yqgKFAXGgTENMJVJb0V6x,Pinoy indie,22,kellypclaustro,kellypclaustro,0
48C7oyKpTXlS7OGCPPEoFg,Pinoy Indie Mix Hits,123,12171443799,RM Pasamonte,0
0DrAKVIJ91F8enN65GQwSh,pinoy indie.,112,pd5xuyz8o4k2qrvqkr6v16199,Angelene,0
1HV6eCgzhvKZvxCDWJlLeR,Pinoy Indie ,7,12128755283,Anthony Tamayo Asis,0
0rcBIJdc027dFzxpJVzC54,pinoy indie,85,ypc35vkhz9c0mkr9hhsnyzk9e,P O Y 💊,0
6eV0Rb78LFVTEEh6yoKdaC,Pinoy Indie Mix,120,cjm1976,CJ Muñoz,0
2BPK884dqYNWnOphZNMjgE,Pinoy Indie,10,51ggduoi6qktleta8gnn5fnpl,Renz Arce,0
