playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's,167,12143979903,Nivek Z Zeuqracne,50549
5QGdmXrLsLHhHK5LOAmmft,Pinoy Rock 90's - 2000's,237,allenryanb.jose,Allen Ryan Jose,11150
4ca4u53Xr749bgcj0E9fj9,Pinoy Rock/Rap/Hip-Hop/Alternative ,595,yllenmatt,yllenmatt,7352
7BnXbt5rDr3J9IWO80eS6s,"manila sound, opm, pinoy rock",208,12145807231,Noel de Mesa,4516
3ZZoZhamZh4wyTbFO5Wcum,90's  Pinoy Rock,61,12163143448,Oliver Garcia,2906
3cczfq0r4dBa5KyRWmvvtt,"Sa Wakas, A Pinoy Rock Musical",20,sbtwlpzy7uo4ppuuo56s3t6io,Sa Wakas Musical,2703
0TJZFzk6X1OQ0oOVhna7tB,Pinoy Rock band Best,70,wfdw5kgw9z5d7i0raar53n1az,bonek,2537
1POkDLkngVCP4yfwaIQ34b,Pinoy Rock Bands,256,1178124115,1178124115,2528
5vNoZNP2mQmqk78soTDALR,Pinoy Rock,107,dictalicenseph,Dicta License,1989
5MONZoSUSHQmBccyJJGKeI,"PINOY ROCK 70""s,80""s",72,22vtfmdnsbtpokgxbozc6brni,Aurelio Tarzona,1778
2Mm6vIQwi11WgoST4HNFoX,90's pinoy rock songs,91,jepelangit,jepelangit,1341
1VzdOogmpzhLljoHzwlB0E,2000's Alternative Pinoy Rock,209,dm.pagdalian,DM Pagdalian,1034
3wippyjmi087Aw5DzHDvHa,Pinoy Rock,239,jgkgt8gcnd15wnnjm9ijb530l,jayz1985,802
33yDSWdnKvLOynSvDFaqSa,Best of Pinoy Rock Band,48,regorlairepmi,regorlairepmi,738
1r0bV7IZIEryhWbjBaYOHk,Pinoy Rock 80's,146,milo.remudaro,milo.remudaro,648
5vnC0E0NO8th4jSRyArSrY,Pinoy Rock/Alternative/Punk/Metal/Indie/Reggae/Underground Music,355,svo2es4jitrjr5zd1k336pbzn,Mildskill,608
3osYoeRmqJwkG5o7nwfZTt,Pinoy Rock Classics,87,johnlauderjr,johnlauderjr,591
62UtRy9iIZ8u2BszMS3rcT,Best Pinoy Rock Music,40,djmaxz,JP De Leon,404
0T58qU7xXfIrKu38YgM6L4,Pinoy Rock 2021 🎸,78,jyhra99st5nhex8kfo4um2dh7,buntala,395
456Dsr8eKdxTDYfcosiPXD,Pinoy Rock 2000,119,thewalrusralvin,thewalrusralvin,367
2qR9YBic0rrZLsdJEnJe1X,Pinoy Rock/Acoustic/Alternative,96,226tkfk7cme5d7ul43ueihrmy,Edison Cabrera Bumanglag,361
5rYFnECX2qtppeTpvYC5K8,90's Pinoy Rock Band,93,12139023147,Aldwin Mendoza,329
6ZwEsRCPA9Q6o8IrEur8Je,Pinoy rock 90's,251,thoyskie,thoyskie,286
69A4iA6YnObVDtyf7YcFP2,Pinoy Rock Metal,111,12171463434,Argee Consul,281
1Jmunx1gLB1bJkBghL7yFY,pinoy rock and roll /oldies,38,aristidesarre,aristidesarre,279
4kHCMahkI2WUtgrSydHR83,Pinoy Rock Love Songs,37,mikewaitforit,mikewaitforit,138
2l8UWWUzLfAPdbsBK3utOP,1990s-2000s Pinoy Rock,86,12120143727,Regielene Gonzales,134
0TdpKInEMv59MQTIRqb3dL,Pinoy Rock/Folk Songs 70's 80's 90's,206,deaxyz,Andrea Joyce Angeles,82
1McHDl8MxeLNpfnRBnuww4,Pinoy Rock TOP 200,171,12136338347,Allen MacRandel,81
2pKS0GuGPAYlOHA4CIXzxZ,Pinoy Rockstar,55,zy7hcl2p4suea2hbhmbsw1j64,ac,44
6fpUP9Sydue172zINn1y9U,LAKLAK PINOY ROCK,21,gdgarcila,gdgarcila,30
6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS ,279,sag66rebwusx5tnz89zw35kpy,ITOY,28
0RugtiUYYfM7Mpjm0X2rcv,Pinoy rock,356,31ll2hlfil5dkmaixxtp5soo7m2i,Arnel Dhalson Gorospe DeVilla,0
