track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
21LMl54FIe7J5oOoZzgeiQ,Ang Huling El Bimbo,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,450333,2004-01-23,56,0.521,0.626,6,-8.152,1,0.0243,0.194,0.0,0.227,0.479,90.337,21LMl54FIe7J5oOoZzgeiQ,21LMl54FIe7J5oOoZzgeiQ
3zuJmBQozBPx6KRlfCNUPQ,Himala,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,246280,2001,50,0.353,0.316,2,-8.324,1,0.0284,0.0922,2.06e-05,0.0768,0.316,173.887,3zuJmBQozBPx6KRlfCNUPQ,3zuJmBQozBPx6KRlfCNUPQ
6SHSvo6OGgpneKfsxFGhhk,Ligaya,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,271466,2004-01-23,54,0.549,0.718,4,-8.367,0,0.0949,0.397,0.0,0.163,0.683,125.898,6SHSvo6OGgpneKfsxFGhhk,6SHSvo6OGgpneKfsxFGhhk
3pGeMszs8vgG4osWUTMEk9,With A Smile,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,280546,2004-01-23,49,0.322,0.482,6,-9.407,1,0.0295,0.604,0.0,0.111,0.399,150.017,3pGeMszs8vgG4osWUTMEk9,3pGeMszs8vgG4osWUTMEk9
7uuirrtCr8O8fz7kQS6VUR,Pare Ko,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,0HDclsvr13EmV3DBMSVWPX,325000,1993-12-01,56,0.479,0.493,7,-11.694,1,0.0293,0.0263,3.76e-06,0.0718,0.438,144.546,7uuirrtCr8O8fz7kQS6VUR,7uuirrtCr8O8fz7kQS6VUR
4lEuGfkju3qDWHgn8inAZ9,Overdrive,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,308000,2004-01-23,49,0.396,0.343,8,-12.69,1,0.0389,0.357,5.04e-05,0.158,0.338,135.486,4lEuGfkju3qDWHgn8inAZ9,4lEuGfkju3qDWHgn8inAZ9
0CR9myb5nh8N8RVjzgMAzt,Toyang,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,229626,2004-01-23,43,0.37,0.668,9,-9.259,1,0.0863,0.0153,0.0,0.327,0.822,163.844,0CR9myb5nh8N8RVjzgMAzt,0CR9myb5nh8N8RVjzgMAzt
1uUmQer0sSx0YlD0FiOCk5,Minsan,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,257453,2004-01-23,46,0.494,0.677,1,-9.268,1,0.0467,0.211,0.0,0.102,0.576,144.079,1uUmQer0sSx0YlD0FiOCk5,1uUmQer0sSx0YlD0FiOCk5
14rEb6DAjSUIk1TwvqfRDf,Huwag Mo Nang Itanong,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,252000,2004-01-23,44,0.493,0.602,3,-10.075,1,0.0314,0.659,0.0,0.097,0.895,181.169,14rEb6DAjSUIk1TwvqfRDf,14rEb6DAjSUIk1TwvqfRDf
7eVQAaMwar65pgEbuAJSut,Spoliarium,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,331146,2006-10-10,40,0.371,0.493,8,-9.137,0,0.0318,0.576,0.0,0.19,0.515,170.316,7eVQAaMwar65pgEbuAJSut,7eVQAaMwar65pgEbuAJSut
29eY9yMqbggVPNGGSVYGzv,Ha Ha Ha,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,286240,2006-10-10,29,0.571,0.562,1,-12.95,1,0.0353,0.00815,0.151,0.499,0.836,138.749,29eY9yMqbggVPNGGSVYGzv,29eY9yMqbggVPNGGSVYGzv
4ku53epUdBocSCBRNwf9CA,Kaliwete,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,189173,2004-01-23,38,0.458,0.903,8,-6.285,1,0.0412,0.161,0.0,0.191,0.665,145.388,4ku53epUdBocSCBRNwf9CA,4ku53epUdBocSCBRNwf9CA
3YiTrKWNORIL0dZe0v2F92,Hard To Believe,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,214000,2004-01-23,36,0.492,0.434,1,-11.223,0,0.0274,0.335,1.28e-06,0.31,0.155,81.366,3YiTrKWNORIL0dZe0v2F92,3YiTrKWNORIL0dZe0v2F92
5xIMkqO3B1rLyKTUzWD0EX,Para Sa Masa,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,295466,2004-01-23,36,0.282,0.257,0,-11.926,1,0.0295,0.927,0.000441,0.293,0.134,180.287,5xIMkqO3B1rLyKTUzWD0EX,5xIMkqO3B1rLyKTUzWD0EX
