,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,genre,playlist_name,duration_mins,genre_id,predicted_genre_id,predicted_genre,euclidean_dist,manhattan_dist,cosine_dist
318,7v8yMJuatXDEODv5mmrqSy,Pwede Ba,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,6J8jhnIWTbwk5iy3OyYCd3,341806,2018-06-15,0,0.665,0.325,0,0.7747010698552548,1,0.0544,0.607,0.000429,0.106,0.253,0.36814611736810904,7v8yMJuatXDEODv5mmrqSy,pinoy indie,,5.696766666666667,0,0,pinoy rock,0.09000000000000029,0.0,0.040076447110708124
1337,0zC6lbP7ZX1XoIwWFhak9J,Kaleidoscope World,2gnDkkZp0GU3TGoblRiOTl,Markki Stroem,5H9mWyVNAiMdDPDuzD62vu,188042,2015-10-13,34,0.674,0.33,10,0.6977244874300288,1,0.038,0.703,5.71e-06,0.0894,0.257,0.34518097954949617,0zC6lbP7ZX1XoIwWFhak9J,pinoy indie,,3.1340333333333334,0,0,pinoy rock,0.028999999999999665,0.009000000000000008,0.04084100316443395
1055,3bQACCK0yxbwPQfjLU7cKh,Balewala (Acoustic),52AFbIsIjRLcaHCt8KV1rg,Brisom,2ZCNLYkCWOANDKRsjEQ3AE,311808,2019-01-18,18,0.648,0.298,11,0.8117319731045675,1,0.0307,0.785,0.0,0.115,0.187,0.3568742590397155,3bQACCK0yxbwPQfjLU7cKh,pinoy indie,,5.1968,0,0,pinoy rock,0.0800000000000001,0.017000000000000015,0.042001438387449186
492,2aozqrjm2nNFwIiRTl9wEf,Gentlemen Don't,6YloMIsWjpHzIRK8s5tzAr,Gabe Bondoc,4g751N1TIvwcqJxQPMRAlw,201949,2016-08-12,48,0.701,0.365,3,0.7458514126726508,1,0.0358,0.593,0.0,0.108,0.298,0.37492127296976885,2aozqrjm2nNFwIiRTl9wEf,pinoy indie,,3.3658166666666665,0,0,pinoy rock,0.03800000000000001,0.03599999999999992,0.04285909968396473
682,4WOLFyu5hAc5mgosw0i2Zq,bruised,2VL6HPPI1raa3qKW6NUNBR,TALA,0I4kXJE3TX5QpPkI2gpPsM,234000,2018-02-09,39,0.669,0.459,10,0.7579079858235898,0,0.064,0.767,0.0137,0.175,0.298,0.3703782602252519,4WOLFyu5hAc5mgosw0i2Zq,pinoy indie,,3.9,0,0,pinoy rock,0.18099999999999997,0.0040000000000000036,0.044050395672842635
258,5lNBdMF4OPTzJ55ENTUOv1,"Karma, Kill Me Now",7fVbBzDDOt79tXJsAo5fsw,Jensen & The Flips,23AHziIJvdpUYzVQSwYbmN,265859,2017-10-03,15,0.628,0.386,11,0.8243516279685998,1,0.0859,0.402,0.00688,0.049,0.199,0.2962035047421458,5lNBdMF4OPTzJ55ENTUOv1,pinoy indie,,4.430983333333334,0,0,pinoy rock,0.024999999999999734,0.03700000000000003,0.04459613869734769
715,6nEoa2yqy26rD7LOboZoUr,Chicosci Vamprie Social Club,1WUdtysXvz9qXuD6toSJqA,Chicosci,2r6SqtOuLa9irZPURFu2ys,231000,2010-01-01,41,0.676,0.318,0,0.7607565168427677,1,0.03,0.792,0.0,0.151,0.369,0.37045698725548315,6nEoa2yqy26rD7LOboZoUr,pinoy indie,,3.85,0,0,pinoy rock,0.27899999999999997,0.01100000000000001,0.044799464829170965
511,0A7YlP0GoJN8SyDTSpf3hX,iglap,3BQ7MYNeB0wMPtHYPWvu1C,syd hartha,0MP80Y63UXQGrRVnRcXGCN,167952,2018-10-26,0,0.638,0.437,3,0.6835811996952733,1,0.0582,0.521,3.15e-06,0.22,0.417,0.27636429312388855,0A7YlP0GoJN8SyDTSpf3hX,pinoy indie,,2.7992,0,0,pinoy rock,0.27899999999999997,0.027000000000000024,0.046014174464503066
836,6oqZF9J0ETTli3OkZzdgpl,iglap,3BQ7MYNeB0wMPtHYPWvu1C,syd hartha,0eDevzq1xUI3v4QUOEjnMX,167952,2018-10-26,39,0.638,0.437,3,0.6835811996952733,1,0.0582,0.521,3.15e-06,0.22,0.417,0.27636429312388855,6oqZF9J0ETTli3OkZzdgpl,pinoy indie,,2.7992,0,0,pinoy rock,0.1429999999999998,0.027000000000000024,0.046014174464503066
1516,6ACipcRoUAso3VFFyj1rWX,Desire,6Ww3OMFzCaO33ulKh1LBFN,Hale,5wtsM00a6c96zSP7ttfO71,231348,2018-06-13,29,0.754,0.303,0,0.7164717962306646,1,0.0322,0.772,1.32e-05,0.113,0.297,0.37956616775340846,6ACipcRoUAso3VFFyj1rWX,pinoy indie,,3.8558,0,0,pinoy rock,0.11299999999999964,0.08899999999999997,0.046551760349479165
