,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,genre,playlist_name,duration_mins,genre_id,predicted_genre_id,predicted_genre,euclidean_dist,manhattan_dist,cosine_dist
2206,585fO66XWStoEMlcE5SfnK,Circle,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1Im5BTDBghgM0NG75SaiC3,255426,2007-01-15,14,0.718,0.316,6,0.7490311682289423,1,0.0522,0.638,1.13e-06,0.108,0.36,0.33025062981624187,585fO66XWStoEMlcE5SfnK,pinoy rock,,4.2571,1,0,pinoy rock,0.11900000000000015,0.052999999999999936,0.034913895286804664
2237,5ByfAzVJs6SSLO8hGk1Re6,Untitled,5EUahD2aecNM2phblhyVFi,Bamboo,6FcyHSrekDFm9SYZnsyoQ8,246226,2015-10-30,22,0.684,0.334,3,0.7638037825842138,1,0.03,0.942,5.98e-06,0.123,0.325,0.33358495109662123,5ByfAzVJs6SSLO8hGk1Re6,pinoy rock,,4.103766666666667,1,0,pinoy rock,0.17299999999999996,0.019000000000000017,0.04582713984847964
3484,3aUGVfyoxdcNpa46iBuHp9,"Sana - Love Theme From ""Captain Barbell""",2TnJoEY5ctCfKaCwosowyY,Shamrock,2gk2n4QVbkF6xEExoTKV4m,219240,2005,38,0.622,0.284,9,0.77748335596701,1,0.0325,0.855,0.0,0.107,0.376,0.3423792234736218,3aUGVfyoxdcNpa46iBuHp9,pinoy rock,,3.654,1,0,pinoy rock,0.12600000000000022,0.04300000000000004,0.04673040714065324
3039,4uXISylaBA9SJxIqOJUe90,T.L. Ako Sa 'Yo,65QcnpMJFv1yogXwoOe97v,Cinderella,7x3HIpeXBQLIRfXprafCRG,180480,2008-08-01,0,0.703,0.379,5,0.7411480242456361,0,0.0333,0.739,0.0252,0.144,0.505,0.348112403675163,4uXISylaBA9SJxIqOJUe90,pinoy rock,,3.008,1,0,pinoy rock,0.20599999999999993,0.03799999999999992,0.04802560316146809
2232,698S72sJ9wFxGQUia6HzJb,Tunay,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,4JfQfFmSQgbEOscuEdh2QB,326280,2003-11-18,10,0.537,0.381,2,0.7782120499486601,1,0.0258,0.497,5.67e-05,0.169,0.231,0.3530490515708358,698S72sJ9wFxGQUia6HzJb,pinoy rock,,5.438,1,0,pinoy rock,0.10899999999999989,0.128,0.050901518836842685
3462,2hLWGufXgFRtvbHTDbmrw7,Katabi,007MmXwT1HwcXwuyROgNJb,Fred Engay,5CKKtTdpoBUOpKOMjy2TgP,266815,2020-12-27,49,0.642,0.281,4,0.6995793448378655,0,0.0413,0.811,0.0481,0.111,0.192,0.3471028452874926,2hLWGufXgFRtvbHTDbmrw7,pinoy rock,,4.446916666666667,1,0,pinoy rock,0.13499999999999998,0.02300000000000002,0.05117066588122465
2065,1hw83z3RhyizuS85eWCr3z,Beer Lite,5cYJYBMg1n71v7cvthr1SO,The Itchyworms,6WzFODPnZ5SW1qTvTELSxW,391066,2006,26,0.587,0.479,7,0.8298830777383988,1,0.0276,0.838,8.61e-06,0.142,0.444,0.37034584321280384,1hw83z3RhyizuS85eWCr3z,pinoy rock,,6.517766666666667,1,1,pinoy indie,0.055,0.07800000000000007,0.05128419069372936
2209,3HhYzUQVpXrcavdhUisaXp,Landslide,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1Im5BTDBghgM0NG75SaiC3,258826,2007-01-15,17,0.619,0.341,11,0.6845748733066145,1,0.0314,0.847,1.33e-05,0.139,0.261,0.3385262299940723,3HhYzUQVpXrcavdhUisaXp,pinoy rock,,4.313766666666667,1,0,pinoy rock,0.010999999999999193,0.04600000000000004,0.05130214969282154
1979,6CiuHbascZBxfFqdixSXiW,Set You Free,5elcNQkZ6FCZA3grSOMngY,MYMP,4vZ9jbxJDvWVO18RUOCuUo,264573,2008-08-15,51,0.642,0.281,4,0.6481732966778178,1,0.0346,0.821,0.0,0.123,0.101,0.2779017857142857,6CiuHbascZBxfFqdixSXiW,pinoy rock,,4.40955,1,0,pinoy rock,0.17400000000000007,0.02300000000000002,0.05167828543992048
1602,1JC4niMbshPlor1BPagn2L,Upside Down,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1Im5BTDBghgM0NG75SaiC3,324693,2007-01-15,56,0.582,0.492,3,0.7816567851346427,1,0.0248,0.582,1.48e-06,0.137,0.429,0.3531370406046236,1JC4niMbshPlor1BPagn2L,pinoy rock,,5.41155,1,0,pinoy rock,0.03100000000000073,0.08300000000000007,0.05338087810658387
