popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,is_top200,predicted_top200,predicted_top200_prob
29,0.475,0.157,0,-13.932,1,0.0307,0.785,0.00212,0.107,0.0806,119.836,0,0,0.8
46,0.603,0.196,6,-14.843,1,0.0443,0.94,1.25e-06,0.0916,0.16,119.529,0,0,0.8
24,0.649,0.902,7,-3.693,1,0.0601,0.0806,0.0078,0.171,0.6409999999999999,122.988,0,0,1.0
24,0.555,0.637,9,-7.9929999999999986,1,0.0356,0.00254,0.000785,0.0647,0.489,124.999,0,0,1.0
68,0.544,0.7809999999999999,8,-4.86,1,0.0352,0.007809999999999998,8.379999999999999e-05,0.132,0.422,124.869,0,0,0.8
25,0.741,0.728,1,-9.498,1,0.0306,0.0505,3.89e-05,0.111,0.563,121.969,0,0,1.0
21,0.536,0.5329999999999999,9,-5.899,1,0.0321,0.0118,0.0366,0.116,0.534,125.022,0,0,0.8
24,0.705,0.203,9,-19.279,1,0.0433,0.94,0.000312,0.111,0.24,118.03,0,0,0.8
24,0.705,0.466,7,-12.214,1,0.033,0.383,0.365,0.0844,0.438,126.01,0,0,0.6
28,0.664,0.182,1,-18.623,0,0.0523,0.69,0.88,0.0952,0.332,123.98,0,0,0.8
20,0.518,0.779,7,-8.834,1,0.0489,0.00427,0.00286,0.183,0.318,124.031,0,0,1.0
28,0.4970000000000001,0.386,5,-10.357,1,0.0268,0.764,0.6509999999999999,0.0936,0.292,124.987,0,0,0.6
0,0.423,0.546,1,-5.109,1,0.0388,0.0828,0.0003,0.0857,0.224,123.754,0,0,1.0
13,0.905,0.489,0,-9.613,0,0.0434,0.669,1.58e-06,0.0921,0.5770000000000001,125.003,0,0,0.6
42,0.7070000000000001,0.479,8,-6.256,1,0.0333,0.0381,6.15e-06,0.222,0.402,123.043,0,0,1.0
28,0.6629999999999999,0.499,11,-6.657,1,0.0419,0.113,3.76e-06,0.105,0.381,123.934,0,0,0.8
29,0.762,0.555,3,-6.0070000000000014,1,0.0416,0.362,0.0,0.13,0.434,124.999,0,0,0.8
0,0.613,0.748,11,-3.911,1,0.037000000000000005,0.0515,0.000416,0.171,0.637,120.01,0,0,0.6
0,0.768,0.327,9,-9.063,1,0.0322,0.473,0.0268,0.348,0.3,119.995,0,0,0.6
21,0.532,0.349,6,-12.741,1,0.0571,0.7090000000000001,1.44e-05,0.126,0.4370000000000001,123.654,0,0,0.8
23,0.8190000000000001,0.388,4,-7.619,0,0.0607,0.152,0.0,0.0666,0.461,125.048,0,0,0.8
11,0.568,0.622,8,-6.86,1,0.0301,0.00187,0.104,0.111,0.589,122.007,0,0,1.0
37,0.754,0.375,0,-11.962,1,0.0666,0.8370000000000001,0.00324,0.362,0.265,122.963,0,0,1.0
24,0.7290000000000001,0.0837,0,-17.509,1,0.503,0.971,6.5e-06,0.308,0.403,121.379,0,0,1.0
0,0.664,0.5670000000000001,7,-7.086,1,0.0284,0.173,4.57e-05,0.114,0.191,119.99,0,0,1.0
9,0.665,0.233,0,-12.593,1,0.4270000000000001,0.7120000000000001,0.0,0.112,0.354,123.032,0,0,0.8
0,0.447,0.55,1,-5.072,1,0.0371,0.0931,0.000178,0.0864,0.218,123.869,0,0,1.0
32,0.8170000000000001,0.484,10,-9.694,0,0.0698,0.77,0.000121,0.111,0.607,125.037,0,0,0.6
27,0.835,0.246,9,-13.473,1,0.0477,0.936,0.00946,0.111,0.13,120.921,0,0,0.8
31,0.7859999999999999,0.956,6,-2.109,1,0.111,0.326,0.000112,0.366,0.813,124.075,0,0,0.8
16,0.619,0.828,7,-6.535,1,0.0396,0.111,0.0,0.131,0.256,119.97,0,0,1.0
9,0.642,0.813,4,-7.164,1,0.0347,0.0888,0.0005549999999999999,0.119,0.8959999999999999,125.2,0,0,0.8
22,0.574,0.0797,2,-16.59,1,0.039,0.86,6.440000000000001e-05,0.158,0.412,120.159,0,0,0.8
21,0.495,0.797,2,-5.274,1,0.0387,2.04e-05,0.358,0.0872,0.284,124.925,0,0,0.6
10,0.408,0.334,8,-9.921,1,0.0359,0.0772,2.35e-05,0.08,0.4920000000000001,119.773,0,0,0.8
2,0.362,0.899,4,-7.324,1,0.206,0.139,0.000984,0.14,0.368,122.948,0,0,1.0
42,0.68,0.37,9,-8.205,1,0.0274,0.8440000000000001,0.000412,0.104,0.228,123.978,0,0,1.0
0,0.612,0.693,9,-3.565,0,0.0354,0.0034700000000000004,0.201,0.298,0.393,127.008,0,0,0.6
25,0.512,0.557,9,-6.654,1,0.0499,0.0367,3.4e-05,0.112,0.319,121.981,0,0,1.0
23,0.67,0.54,4,-7.352,1,0.0321,0.00288,0.00108,0.0787,0.249,121.978,0,0,1.0
3,0.6459999999999999,0.784,9,-7.677,0,0.033,0.254,0.078,0.16699999999999998,0.398,124.003,0,0,1.0
30,0.5429999999999999,0.598,4,-8.038,1,0.0275,0.153,8.2e-05,0.249,0.417,122.108,0,0,1.0
