popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,is_top200
29,0.475,0.157,0,-13.932,1,0.0307,0.785,0.00212,0.107,0.0806,119.836,0
37,0.406,0.742,8,-3.135,1,0.0356,0.215,0.00041,0.0943,0.564,179.959,0
25,0.523,0.759,4,-5.652,1,0.0295,0.011,0.000769,0.109,0.603,90.02600000000002,0
46,0.603,0.196,6,-14.843,1,0.0443,0.94,1.25e-06,0.0916,0.16,119.529,0
30,0.385,0.233,11,-16.567,0,0.0358,0.937,0.002,0.0695,0.18,78.666,0
38,0.653,0.639,11,-6.385,0,0.0365,0.403,0.127,0.0571,0.312,75.98100000000002,0
32,0.8370000000000001,0.0935,6,-14.953,1,0.0474,0.867,9.84e-06,0.111,0.39,105.047,0
31,0.53,0.212,9,-14.956,1,0.0348,0.856,0.118,0.112,0.44,150.01,0
24,0.649,0.902,7,-3.693,1,0.0601,0.0806,0.0078,0.171,0.6409999999999999,122.988,0
25,0.472,0.628,2,-5.126,1,0.026,0.324,0.0707,0.183,0.273,70.061,0
23,0.473,0.54,9,-7.806,1,0.0313,0.514,1.34e-05,0.35,0.194,173.942,0
24,0.555,0.637,9,-7.9929999999999986,1,0.0356,0.00254,0.000785,0.0647,0.489,124.999,0
24,0.6779999999999999,0.225,2,-14.447,1,0.0286,0.309,2.1e-06,0.0872,0.16899999999999998,112.981,0
68,0.544,0.7809999999999999,8,-4.86,1,0.0352,0.007809999999999998,8.379999999999999e-05,0.132,0.422,124.869,0
25,0.615,0.453,2,-11.066,1,0.0288,0.322,6.17e-06,0.265,0.16399999999999998,135.02,0
31,0.579,0.56,11,-8.08,1,0.0343,0.39,0.0558,0.12,0.248,99.978,0
47,0.431,0.238,0,-11.219,1,0.0316,0.758,1.94e-05,0.0671,0.14800000000000002,112.123,0
45,0.789,0.251,9,-9.812,1,0.0465,0.598,0.321,0.107,0.17800000000000002,84.73299999999998,0
34,0.483,0.632,5,-7.994,0,0.0604,0.204,1.5e-05,0.117,0.363,165.625,0
10,0.349,0.354,2,-14.737,1,0.0434,0.757,0.03,0.0902,0.0706,129.692,0
22,0.448,0.63,4,-13.278,1,0.0366,0.000384,0.0231,0.102,0.392,159.968,0
40,0.466,0.581,6,-4.331,0,0.0295,0.14800000000000002,0.0182,0.0698,0.287,150.053,0
36,0.718,0.54,0,-7.245,1,0.0294,0.251,0.000843,0.11,0.537,104.034,0
32,0.4,0.474,8,-8.824,0,0.0522,0.317,2.69e-05,0.109,0.222,181.56,0
42,0.774,0.462,1,-12.098,1,0.0312,0.34700000000000003,0.000184,0.139,0.866,99.535,0
18,0.888,0.591,0,-13.737,1,0.122,0.429,0.782,0.09,0.693,114.992,0
47,0.7340000000000001,0.413,7,-8.972999999999997,1,0.0316,0.0984,0.0,0.28,0.68,105.98,0
28,0.377,0.555,1,-11.438,1,0.0576,0.888,0.147,0.195,0.731,100.971,0
18,0.602,0.525,3,-9.803,1,0.294,0.161,0.0,0.0695,0.7040000000000001,199.82,0
24,0.447,0.628,7,-8.302999999999999,1,0.0397,0.0616,5.02e-06,0.097,0.344,85.005,0
25,0.741,0.728,1,-9.498,1,0.0306,0.0505,3.89e-05,0.111,0.563,121.969,0
44,0.482,0.8809999999999999,11,-3.62,0,0.0533,0.0128,0.0,0.103,0.281,144.02,0
22,0.872,0.511,0,-10.557,1,0.3670000000000001,0.145,1.0800000000000003e-05,0.0887,0.757,94.985,0
23,0.583,0.578,1,-8.387,1,0.0329,0.000367,0.00145,0.0452,0.49,104.893,0
37,0.622,0.625,0,-4.522,1,0.0274,0.328,0.0942,0.409,0.5489999999999999,144.02,0
22,0.622,0.381,4,-13.341,1,0.0607,0.31,0.212,0.0908,0.322,160.07299999999995,0
26,0.6559999999999999,0.402,10,-12.232,1,0.027000000000000003,0.8959999999999999,0.0585,0.105,0.386,87.971,0
24,0.3720000000000001,0.35700000000000004,7,-13.628,1,0.0443,0.403,0.0328,0.228,0.182,112.551,0
30,0.508,0.38,3,-8.579,1,0.0281,0.505,1.03e-05,0.113,0.102,142.799,0
32,0.742,0.505,1,-10.432,1,0.039,0.919,0.336,0.12,0.14,134.996,0
39,0.726,0.653,7,-9.383,1,0.0297,0.317,0.000167,0.28800000000000003,0.889,125.963,0
24,0.7509999999999999,0.274,9,-12.704,1,0.0319,0.762,0.132,0.112,0.489,105.023,0
21,0.536,0.5329999999999999,9,-5.899,1,0.0321,0.0118,0.0366,0.116,0.534,125.022,0
21,0.5,0.6759999999999999,0,-6.27,1,0.0355,0.319,0.00186,0.0968,0.399,104.045,0
31,0.5710000000000001,0.236,0,-18.333,1,0.134,0.945,0.0177,0.0971,0.287,80.09899999999998,0
24,0.705,0.203,9,-19.279,1,0.0433,0.94,0.000312,0.111,0.24,118.03,0
24,0.705,0.466,7,-12.214,1,0.033,0.383,0.365,0.0844,0.438,126.01,0
42,0.4,0.263,5,-13.476,0,0.0301,0.795,0.00212,0.196,0.209,139.47799999999998,0
27,0.746,0.384,4,-10.08,1,0.0703,0.6829999999999999,0.000736,0.0781,0.414,89.025,0
29,0.5720000000000001,0.318,8,-15.073,1,0.0292,0.7120000000000001,0.101,0.19,0.231,114.996,0
28,0.664,0.182,1,-18.623,0,0.0523,0.69,0.88,0.0952,0.332,123.98,0
0,0.8059999999999999,0.518,1,-12.12,0,0.0327,0.59,2.89e-05,0.0767,0.825,102.044,0
33,0.69,0.261,3,-10.787,1,0.0541,0.713,0.0285,0.108,0.425,83.936,0
29,0.662,0.238,0,-12.588,1,0.0298,0.911,0.019,0.0935,0.157,114.867,0
25,0.575,0.395,5,-9.768,1,0.0268,0.14400000000000002,0.000223,0.0778,0.153,128.09799999999998,0
20,0.5429999999999999,0.457,3,-11.965,1,0.0296,0.627,0.343,0.132,0.0902,100.07,0
20,0.518,0.779,7,-8.834,1,0.0489,0.00427,0.00286,0.183,0.318,124.031,0
32,0.505,0.265,7,-13.89,1,0.028,0.723,0.0119,0.147,0.29600000000000004,140.069,0
28,0.696,0.568,0,-8.901,1,0.0637,0.301,2.3800000000000006e-05,0.053,0.665,91.05,0
19,0.535,0.575,4,-9.089,1,0.0298,0.624,0.0246,0.154,0.198,104.965,0
19,0.804,0.402,6,-9.84,1,0.037000000000000005,0.268,0.0668,0.103,0.315,93.504,0
20,0.522,0.608,4,-10.566,1,0.0325,0.00693,0.0111,0.145,0.194,130.05,0
31,0.7559999999999999,0.589,10,-5.734,1,0.0297,0.111,0.000427,0.141,0.747,130.003,0
29,0.7120000000000001,0.289,9,-9.023,1,0.0464,0.8109999999999999,0.0,0.056,0.315,179.945,0
26,0.733,0.458,6,-8.91,1,0.0668,0.0299,0.28,0.0928,0.218,97.531,0
23,0.619,0.757,0,-6.915,1,0.0309,0.00205,0.000251,0.0695,0.825,117.003,0
21,0.542,0.463,1,-10.146,0,0.0697,0.598,0.0,0.0827,0.433,160.12,0
35,0.614,0.465,2,-11.196,1,0.0485,0.821,0.233,0.109,0.079,112.008,0
30,0.433,0.407,7,-7.0470000000000015,1,0.0311,0.0279,0.0,0.104,0.15,129.915,0
31,0.595,0.586,4,-8.964,1,0.0318,0.0422,0.0026,0.152,0.504,111.019,0
22,0.664,0.7070000000000001,0,-7.9060000000000015,1,0.0339,0.125,0.127,0.235,0.292,89.99700000000001,0
21,0.6679999999999999,0.633,11,-10.613,1,0.0343,0.632,0.00218,0.0881,0.735,95.001,0
17,0.542,0.818,9,-8.748,1,0.0349,0.17,0.61,0.193,0.454,145.018,0
18,0.8029999999999999,0.536,6,-10.979,1,0.243,0.732,0.00428,0.108,0.43,150.03,0
18,0.7290000000000001,0.415,0,-9.907,1,0.0626,0.491,4.89e-05,0.107,0.17600000000000002,140.023,0
0,0.573,0.0719,4,-16.173,1,0.0468,0.888,1.27e-06,0.0947,0.204,109.422,0
28,0.4970000000000001,0.386,5,-10.357,1,0.0268,0.764,0.6509999999999999,0.0936,0.292,124.987,0
0,0.588,0.6809999999999999,0,-5.519,1,0.033,0.196,0.000283,0.124,0.479,139.997,0
0,0.519,0.51,4,-5.109,1,0.0302,0.229,0.0837,0.0853,0.456,129.19899999999998,0
0,0.391,0.478,11,-7.367000000000001,1,0.0327,0.0565,8.89e-05,0.0941,0.324,85.615,0
22,0.655,0.19,4,-14.447,0,0.237,0.867,4.56e-06,0.115,0.46,78.798,0
